Country Name,Country Code,Year,Value
Aruba,ABW,2018,3276184357.5419
Africa Eastern and Southern,AFE,2018,1012306000425.25
Afghanistan,AFG,2018,18053222687.4126
Africa Western and Central,AFW,2018,770494988148.76
Angola,AGO,2018,79450688259.3664
Albania,ALB,2018,15379509891.7196
Andorra,AND,2018,3218419896.9641
Arab World,ARB,2018,2867348492603.59
United Arab Emirates,ARE,2018,427049432149.345
Argentina,ARG,2018,524819892360.176
Armenia,ARM,2018,12457940694.7395
American Samoa,ASM,2018,639000000.0
Antigua and Barbuda,ATG,2018,1661529629.62963
Australia,AUS,2018,1427809041019.44
Austria,AUT,2018,452582294972.775
Azerbaijan,AZE,2018,47112470051.7701
Burundi,BDI,2018,2667182199.51333
Belgium,BEL,2018,542638913427.921
Benin,BEN,2018,14262408079.7014
Burkina Faso,BFA,2018,15890066221.2882
Bangladesh,BGD,2018,321362752441.78
Bulgaria,BGR,2018,66289266348.6504
Bahrain,BHR,2018,39567978723.4043
Bahamas,BHS,2018,12615800000.0
Bosnia and Herzegovina,BIH,2018,20484053868.9246
Belarus,BLR,2018,60031173807.7196
Belize,BLZ,2018,2293250000.0
Bermuda,BMU,2018,7225977000.0
Bolivia,BOL,2018,40287647930.4761
Brazil,BRA,2018,1916933898038.36
Barbados,BRB,2018,5629916200.0
Brunei,BRN,2018,13566908401.1864
Bhutan,BTN,2018,2583335721.20625
Botswana,BWA,2018,17031943186.1353
Central African Republic,CAF,2018,2220979146.11241
Canada,CAN,2018,1725329192783.02
Central Europe and the Baltics,CEB,2018,1657633874968.79
Switzerland,CHE,2018,725568717468.001
Channel Islands,CHI,2018,10026153344.8196
Chile,CHL,2018,295857562991.709
China,CHN,2018,13894907857880.6
Cote d'Ivoire,CIV,2018,58522477786.6889
Cameroon,CMR,2018,39955552189.795
"Congo, Dem. Rep.",COD,2018,47568210009.8172
"Congo, Rep.",COG,2018,14773900288.5135
Colombia,COL,2018,334198218098.276
Comoros,COM,2018,1188797449.38584
Cabo Verde,CPV,2018,2205099509.15987
Costa Rica,CRI,2018,62420164991.5374
Caribbean small states,CSS,2018,36727457619.9835
